Name,Chip_ID,Cluster,ISO,Origin_Country,Origin
1007_SPIA,2024011509,1,VNM,Vietnam,Processing factories/traders
100_PPRI,1382643147,1,VNM,Vietnam,FieldCollected
1018_SPIA,2024011510,1,VNM,Vietnam,Private stores/dealers
1019_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
1021_SPIA,2024022001,1,VNM,Vietnam,Obtained from a relative/friend
1025_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
1028_SPIA,2024011509,1,VNM,Vietnam,Agricultural extension service
1042_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
1048_SPIA,2024022002,1,VNM,Vietnam,Obtained from a relative/friend
1049_SPIA,2024011508,1,VNM,Vietnam,Agricultural extension service
1050_SPIA,2024022001,1,VNM,Vietnam,Obtained from a relative/friend
1056_SPIA,2024022002,1,VNM,Vietnam,Obtained from a relative/friend
1059_SPIA,2024011509,1,VNM,Vietnam,Agricultural extension service
1063_SPIA,2024022001,1,VNM,Vietnam,Obtained from a relative/friend
1065_SPIA,2024022002,1,VNM,Vietnam,Obtained from a relative/friend
1071_SPIA,2024011507,1,VNM,Vietnam,Agricultural extension service
1072_SPIA,2024022004,1,VNM,Vietnam,Obtained from a relative/friend
1077_SPIA,2024011510,1,VNM,Vietnam,Private stores/dealers
1079_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
1082_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
1086_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
1089_SPIA,2024011510,1,VNM,Vietnam,Private stores/dealers
1091_SPIA,2024022003,1,VNM,Vietnam,Obtained from a relative/friend
1093_SPIA,2024022003,1,VNM,Vietnam,Obtained from a relative/friend
118_PPRI,1382643147,1,VNM,Vietnam,FieldCollected
124_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
12_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
132_PPRI,1382643147,1,VNM,Vietnam,FieldCollected
161_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
201_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
2022TH_KU50,1382850130,1,THA,Thailand,FieldCollected
2022TH_MKUCUK7,1382850130,1,THA,Thailand,FieldCollected
202_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
210_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
21_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
23_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
24_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
252_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
290_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
291_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
291_SPIA,2024022002,1,VNM,Vietnam,Processing factories/traders
360_SPIA,2024022005,1,VNM,Vietnam,Processing factories/traders
363_SPIA,2024011509,1,VNM,Vietnam,Processing factories/traders
377_SPIA,2024011508,1,VNM,Vietnam,Processing factories/traders
386_SPIA,2024022001,1,VNM,Vietnam,Obtained from a relative/friend
41_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
432_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
450_SPIA,2024011510,1,VNM,Vietnam,Private stores/dealers
561_SPIA,2024011508,1,VNM,Vietnam,Obtained from a relative/friend
568_SPIA,2024011509,1,VNM,Vietnam,Obtained from a relative/friend
574_SPIA,2024011508,1,VNM,Vietnam,Obtained from a relative/friend
582_SPIA,2024011507,1,VNM,Vietnam,Private stores/dealers
583_SPIA,2024011507,1,VNM,Vietnam,Private stores/dealers
584_SPIA,2024011507,1,VNM,Vietnam,Obtained from a relative/friend
611_SPIA,2024022002,1,VNM,Vietnam,Obtained from a relative/friend
620_SPIA,2024022004,1,VNM,Vietnam,Obtained from a relative/friend
622_SPIA,2024022002,1,VNM,Vietnam,Obtained from a relative/friend
623_SPIA,2024011509,1,VNM,Vietnam,Obtained from a relative/friend
625_SPIA,2024011508,1,VNM,Vietnam,Obtained from a relative/friend
627_SPIA,2024011509,1,VNM,Vietnam,Obtained from a relative/friend
630_SPIA,2024022002,1,VNM,Vietnam,Farmer Group/Seed Club/Cooperatives
632_SPIA,2024022002,1,VNM,Vietnam,Obtained from a relative/friend
633_SPIA,2024022002,1,VNM,Vietnam,Obtained from a relative/friend
634_SPIA,2024022004,1,VNM,Vietnam,Obtained from a relative/friend
635_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
639_SPIA,2024011508,1,VNM,Vietnam,Obtained from a relative/friend
643_SPIA,2024011507,1,VNM,Vietnam,Obtained from a relative/friend
644_SPIA,2024011508,1,VNM,Vietnam,Obtained from a relative/friend
647_SPIA,2024022004,1,VNM,Vietnam,Obtained from a relative/friend
648_SPIA,2024011507,1,VNM,Vietnam,Agricultural extension service
652_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
656_SPIA,2024022003,1,,,
657_SPIA,2024022001,1,VNM,Vietnam,Farmer Group/Seed Club/Cooperatives
658_SPIA,2024022004,1,VNM,Vietnam,Private stores/dealers
659_SPIA,2024022001,1,VNM,Vietnam,Obtained from a relative/friend
661_SPIA,2024011508,1,VNM,Vietnam,Agricultural extension service
661_SPIA,2024011510,1,VNM,Vietnam,Private stores/dealers
666_SPIA,2024022002,1,VNM,Vietnam,Obtained from a relative/friend
668_SPIA,2024022002,1,VNM,Vietnam,Private stores/dealers
669_SPIA,2024022004,1,VNM,Vietnam,Obtained from a relative/friend
670_SPIA,2024022002,1,VNM,Vietnam,Processing factories/traders
671_SPIA,2024011510,1,VNM,Vietnam,Private stores/dealers
676_SPIA,2024022003,1,VNM,Vietnam,Agricultural Extension services 
677_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
678_SPIA,2024011509,1,VNM,Vietnam,Private stores/dealers
683_SPIA,2024022004,1,VNM,Vietnam,Agricultural Extension services 
684_SPIA,2024022003,1,VNM,Vietnam,Obtained from a relative/friend
686_SPIA,2024022001,1,VNM,Vietnam,Private stores/dealers
687_SPIA,2024011508,1,VNM,Vietnam,Processing factories/traders
688_SPIA,2024022002,1,VNM,Vietnam,Obtained from a relative/friend
689_SPIA,2024011509,1,VNM,Vietnam,Processing factories/traders
690_SPIA,2024011508,1,VNM,Vietnam,Obtained from a relative/friend
692_SPIA,2024022002,1,VNM,Vietnam,Farmer Group/Seed Club/Cooperatives
694_SPIA,2024022004,1,VNM,Vietnam,Obtained from a relative/friend
697_SPIA,2024011508,1,VNM,Vietnam,Private stores/dealers
699_SPIA,2024011509,1,VNM,Vietnam,Agricultural extension service
700_SPIA,2024011510,1,VNM,Vietnam,Private stores/dealers
707_SPIA,2024011508,1,VNM,Vietnam,Obtained from a relative/friend
709_SPIA,2024022004,1,VNM,Vietnam,Agricultural Extension services 
714_SPIA,2024011508,1,VNM,Vietnam,Farmer Group/Seed Club/Cooperatives
715_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
716_SPIA,2024011510,1,VNM,Vietnam,Processing factories/traders
718_SPIA,2024022004,1,VNM,Vietnam,Processing factories/traders
719_SPIA,2024022003,1,VNM,Vietnam,Obtained from a relative/friend
720_SPIA,2024011508,1,VNM,Vietnam,Private stores/dealers
722_SPIA,2024022003,1,VNM,Vietnam,Processing factories/traders
723_SPIA,2024022001,1,VNM,Vietnam,Private stores/dealers
724_SPIA,2024022002,1,VNM,Vietnam,Processing factories/traders
726_SPIA,2024022004,1,VNM,Vietnam,Obtained from a relative/friend
732_SPIA,2024011508,1,VNM,Vietnam,Farmer Group/Seed Club/Cooperatives
735_SPIA,2024011507,1,VNM,Vietnam,Obtained from a relative/friend
74_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
754_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
756_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
75_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
765_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
769_SPIA,2024022001,1,VNM,Vietnam,Obtained from a relative/friend
775_SPIA,2024011508,1,VNM,Vietnam,Other (Specify)
785_SPIA,2024022001,1,VNM,Vietnam,Obtained from a relative/friend
795_SPIA,2024011508,1,VNM,Vietnam,Obtained from a relative/friend
798_SPIA,2024022003,1,VNM,Vietnam,Obtained from a relative/friend
800_SPIA,2024011509,1,VNM,Vietnam,Obtained from a relative/friend
807_SPIA,2024022003,1,VNM,Vietnam,Obtained from a relative/friend
810_SPIA,2024022003,1,VNM,Vietnam,Obtained from a relative/friend
812_SPIA,2024011507,1,VNM,Vietnam,Obtained from a relative/friend
815_SPIA,2024011510,1,VNM,Vietnam,Obtained from a relative/friend
821_SPIA,2024022004,1,VNM,Vietnam,Obtained from a relative/friend
828_SPIA,2024011509,1,VNM,Vietnam,Private stores/dealers
82_PPRI,1382643290,1,VNM,Vietnam,FieldCollected
831_SPIA,2024011509,1,VNM,Vietnam,Obtained from a relative/friend
832_SPIA,2024022003,1,VNM,Vietnam,Obtained from a relative/friend
833_SPIA,2024011507,1,VNM,Vietnam,Obtained from a relative/friend
838_SPIA,2024022003,1,VNM,Vietnam,Obtained from a relative/friend
839_SPIA,2024022005,1,VNM,Vietnam,Obtained from a relative/friend
846_SPIA,2024022005,1,VNM,Vietnam,Obtained from a relative/friend
857_SPIA,2024022001,1,VNM,Vietnam,Processing factories/traders
865_SPIA,2024022001,1,VNM,Vietnam,Processing factories/traders
869_SPIA,2024011510,1,VNM,Vietnam,Processing factories/traders
871_SPIA,2024011510,1,VNM,Vietnam,Processing factories/traders
874_SPIA,2024011510,1,VNM,Vietnam,Farmer Group/Seed Club/Cooperatives
883_SPIA,2024011508,1,VNM,Vietnam,Processing factories/traders
884_SPIA,2024011509,1,VNM,Vietnam,Processing factories/traders
889_SPIA,2024022004,1,VNM,Vietnam,Obtained from a relative/friend
892_SPIA,2024022004,1,VNM,Vietnam,Obtained from a relative/friend
898_SPIA,2024022003,1,VNM,Vietnam,Obtained from a relative/friend
